,Date,Home Team,Score,Away Team
0,2023-04-14,Guarani,4–1,Avaí
1,2023-04-15,Vila Nova,2–1,Grêmio Novorizontino
2,2023-04-15,Sampaio Corrêa,3–3,Atl Goianiense
3,2023-04-15,Mirassol Futebol Clube,1–0,Chapecoense
4,2023-04-15,Juventude,1–2,Botafogo (SP)
5,2023-04-14,Ituano,2–0,Ceará
6,2023-04-16,Criciúma,2–0,Tombense Futebol Clube
7,2023-04-16,Londrina,1–0,ABC
8,2023-04-16,Vitória,3–0,Ponte Preta
10,2023-04-21,Atl Goianiense,2–1,CRB
11,2023-04-21,Botafogo (SP),1–0,Sampaio Corrêa
12,2023-04-22,Tombense Futebol Clube,3–0,Ituano
13,2023-04-22,Avaí,1–0,Mirassol Futebol Clube
14,2023-04-22,Grêmio Novorizontino,1–0,Juventude
15,2023-04-22,Ceará,0–3,Guarani
16,2023-04-21,Ponte Preta,1–2,Criciúma
17,2023-04-23,Chapecoense,3–0,Londrina
18,2023-04-23,ABC,0–3,Vitória
20,2023-04-28,Criciúma,1–0,Avaí
21,2023-04-28,Vitória,2–0,Londrina
22,2023-04-29,Sampaio Corrêa,1–3,Mirassol Futebol Clube
23,2023-04-29,Botafogo (SP),2–0,CRB
24,2023-04-29,Chapecoense,1–1,Ponte Preta
25,2023-04-29,Tombense Futebol Clube,1–1,Atl Goianiense
26,2023-04-28,Guarani,1–0,Ituano
27,2023-04-30,Grêmio Novorizontino,0–0,Sport Recife
28,2023-04-30,ABC,1–2,Ceará
29,2023-04-30,Vila Nova,1–0,Juventude
31,2023-05-01,Londrina,1–1,Criciúma
32,2023-05-02,Ponte Preta,2–0,Botafogo (SP)
33,2023-05-02,CRB,0–0,Sampaio Corrêa
34,2023-05-03,Juventude,1–0,Guarani
35,2023-05-03,Mirassol Futebol Clube,0–2,Grêmio Novorizontino
36,2023-05-03,Ituano,3–0,ABC
37,2023-05-02,Atl Goianiense,2–1,Chapecoense
38,2023-05-03,Avaí,0–3,Vila Nova
40,2023-05-06,Criciúma,2–1,Ituano
41,2023-05-06,Mirassol Futebol Clube,1–1,Vila Nova
42,2023-05-06,Sampaio Corrêa,2–1,Juventude
