Rodada,Date,Home Team,Score,Away Team,Técnico,Pontuação Partida
1,2023-04-14,Ituano,2-0,Ceará,Gustavo Morinigo,0
2,2023-04-22,Ceará,0-3,Guarani,Gustavo Morinigo,0
3,2023-04-30,ABC,1-2,Ceará,Eduardo Barroca,3
4,2023-05-07,Ponte Preta,0-0,Ceará,Eduardo Barroca,1
5,2023-05-10,Ceará,0-2,Vitória,Eduardo Barroca,0
6,2023-05-13,Ceará,2-0,Tombense Futebol Clube,Eduardo Barroca,3
7,2023-05-21,Criciúma,1-2,Ceará,Eduardo Barroca,3
8,2023-05-24,Londrina,1-3,Ceará,Eduardo Barroca,3
9,2023-05-28,Ceará,0-3,Grêmio Novorizontino,Eduardo Barroca,0
10,2023-06-02,Ceará,2-0,Chapecoense,Eduardo Barroca,3
11,2023-06-06,Atl Goianiense,0-3,Ceará,Eduardo Barroca,3
12,2023-06-10,Ceará,1-3,CRB,Eduardo Barroca,0
13,2023-06-25,Sampaio Corrêa,1-1,Ceará,Eduardo Barroca,1
14,2023-06-28,Ceará,0-0,Avaí,Eduardo Barroca,1
15,2023-07-02,Sport Recife,2-0,Ceará,Guto Ferreira,0
16,2023-07-07,Ceará,3-0,Botafogo (SP),Guto Ferreira,3
17,2023-07-16,Mirassol Futebol Clube,1-1,Ceará,Guto Ferreira,1
18,2023-07-19,Ceará,1-0,Vila Nova,Guto Ferreira,3
19,2023-07-23,Juventude,1-0,Ceará,Guto Ferreira,0
20,2023-07-28,Ceará,1-1,Ituano,Guto Ferreira,1
21,2023-08-02,Guarani,0-0,Ceará,Guto Ferreira,1
22,2023-08-06,Ceará,1-0,ABC,Guto Ferreira,3
23,2023-08-13,Vitória,1-0,Ceará,Guto Ferreira,0
24,2023-08-20,Ceará,1-1,Ponte Preta,Guto Ferreira,1
25,2023-08-26,Tombense Futebol Clube,2-2,Ceará,Guto Ferreira,1
26,2023-09-02,Ceará,1-0,Criciúma,Vagner Mancini,3
27,2023-09-06,Ceará,3-1,Londrina,Vagner Mancini,3
28,2023-09-18,Grêmio Novorizontino,4-1,Ceará,Vagner Mancini,0
29,2023-09-23,Chapecoense,1-1,Ceará,Vagner Mancini,1
30,2023-10-01,Ceará,0-1,Atl Goianiense,Vagner Mancini,0
31,2023-10-06,CRB,2-0,Ceará,Vagner Mancini,0
32,2023-10-14,Ceará,0-0,Sampaio Corrêa,Vagner Mancini,1
33,2023-10-22,Avaí,1-0,Ceará,Vagner Mancini,0
34,2023-10-27,Ceará,2-1,Sport Recife,Vagner Mancini,3
35,2023-11-04,Botafogo (SP),2-2,Ceará,Vagner Mancini,1
36,2023-11-12,Ceará,2-0,Mirassol Futebol Clube,Vagner Mancini,3
37,2023-11-18,Vila Nova,3-1,Ceará,Vagner Mancini,0
38,2023-11-25,Ceará,1-3,Juventude,Vagner Mancini,0
