Rodada,Date,Home Team,Score,Away Team,Técnico,Pontuação Partida,xG_aFavor,xG_Contra
1,2023-04-16,Corinthians,2-1,Cruzeiro,Fernando Lázaro,3,1.5,0.5
2,2023-04-23,Goiás,3-1,Corinthians,,0,0.5,1.2
3,2023-04-29,Palmeiras,2-1,Corinthians,,0,0.5,1.4
4,2023-05-08,Corinthians,1-1,Fortaleza,Vanderlei Luxemburgo,1,1.5,0.8
5,2023-05-11,Botafogo (RJ),3-0,Corinthians,Vanderlei Luxemburgo,0,0.6,2.6
6,2023-05-14,Corinthians,1-1,São Paulo,Vanderlei Luxemburgo,1,0.9,0.9
7,2023-05-21,Flamengo,1-0,Corinthians,Vanderlei Luxemburgo,0,1.2,0.6
8,2023-05-28,Corinthians,2-0,Fluminense,Vanderlei Luxemburgo,3,1.4,1.3
9,2023-06-03,América (MG),2-0,Corinthians,Vanderlei Luxemburgo,0,1.2,1.4
10,2023-06-10,Corinthians,1-1,Cuiabá,Vanderlei Luxemburgo,1,1.4,0.7
11,2023-06-21,Santos,0-2,Corinthians,Vanderlei Luxemburgo,3,1.3,0.8
12,2023-06-24,Ath Paranaense,1-0,Corinthians,Vanderlei Luxemburgo,0,0.9,2.7
13,2023-07-02,Corinthians,0-1,Bragantino,Vanderlei Luxemburgo,0,0.6,0.9
14,2023-07-08,Atlético Mineiro,0-1,Corinthians,Vanderlei Luxemburgo,3,0.8,1.4
15,2023-07-22,Bahia,0-0,Corinthians,Vanderlei Luxemburgo,1,0.1,1.4
16,2023-07-29,Corinthians,3-1,Vasco da Gama,Vanderlei Luxemburgo,3,1.3,1.7
17,2023-08-05,Internacional,2-2,Corinthians,Vanderlei Luxemburgo,1,1.1,1.5
18,2023-08-13,Corinthians,3-1,Coritiba,Vanderlei Luxemburgo,3,2.4,0.8
19,2023-08-19,Cruzeiro,1-1,Corinthians,Vanderlei Luxemburgo,1,0.6,2.0
20,2023-08-26,Corinthians,1-1,Goiás,Vanderlei Luxemburgo,1,1.0,1.8
21,2023-09-03,Corinthians,0-0,Palmeiras,Vanderlei Luxemburgo,1,0.8,0.7
22,2023-09-14,Fortaleza,2-1,Corinthians,Vanderlei Luxemburgo,0,0.4,2.6
23,2023-09-18,Corinthians,4-4,Grêmio,Vanderlei Luxemburgo,1,1.8,1.1
24,2023-09-22,Corinthians,1-0,Botafogo (RJ),Vanderlei Luxemburgo,3,1.1,0.5
25,2023-09-30,São Paulo,2-1,Corinthians,Mano Menezes,0,0.2,2.3
26,2023-10-07,Corinthians,1-1,Flamengo,Mano Menezes,1,1.0,0.9
27,2023-10-19,Fluminense,3-3,Corinthians,Mano Menezes,1,2.1,1.9
28,2023-10-22,Corinthians,1-1,América (MG),Mano Menezes,1,1.3,0.7
29,2023-10-25,Cuiabá,0-1,Corinthians,Mano Menezes,3,1.4,0.6
30,2023-10-29,Corinthians,1-1,Santos,Mano Menezes,1,1.2,1.3
31,2023-11-01,Corinthians,1-0,Ath Paranaense,Mano Menezes,3,1.0,0.8
32,2023-11-05,Bragantino,1-0,Corinthians,Mano Menezes,0,0.3,1.1
33,2023-11-09,Corinthians,1-1,Atlético Mineiro,Mano Menezes,1,1.5,1.1
34,2023-11-12,Grêmio,0-1,Corinthians,Mano Menezes,3,0.6,1.4
35,2023-11-24,Corinthians,1-5,Bahia,Mano Menezes,0,0.9,2.7
36,2023-11-28,Vasco da Gama,2-4,Corinthians,Mano Menezes,3,1.4,1.4
37,2023-12-02,Corinthians,1-2,Internacional,Mano Menezes,0,1.8,1.0
38,2023-12-06,Coritiba,0-2,Corinthians,Mano Menezes,3,0.9,0.6
