,Date,Home Team,xG Home,Score,xG Away,Away Team
0,2023-04-15,América (MG),1.1,0–3,3.1,Fluminense
1,2023-04-15,Palmeiras,3.0,2–1,1.0,Cuiabá
2,2023-04-15,Bragantino,2.0,2–1,0.7,Bahia
3,2023-04-15,Botafogo (RJ),0.9,2–1,2.0,São Paulo
4,2023-04-15,Ath Paranaense,0.8,2–0,1.0,Goiás
5,2023-04-15,Fortaleza,1.5,1–1,0.9,Internacional
6,2023-04-16,Flamengo,1.4,3–0,0.4,Coritiba
7,2023-04-16,Corinthians,1.5,2–1,0.5,Cruzeiro
8,2023-04-16,Grêmio,1.6,1–0,1.2,Santos
9,2023-04-15,Atlético Mineiro,1.5,1–2,1.5,Vasco da Gama
11,2023-04-22,Fluminense,0.8,2–0,0.6,Ath Paranaense
12,2023-04-22,Cuiabá,1.2,1–1,0.9,Bragantino
13,2023-04-22,São Paulo,2.4,3–0,1.1,América (MG)
14,2023-04-23,Internacional,1.1,2–1,1.5,Flamengo
15,2023-04-23,Vasco da Gama,1.4,2–2,0.7,Palmeiras
16,2023-04-23,Santos,0.8,0–0,1.2,Atlético Mineiro
17,2023-04-23,Coritiba,0.7,0–3,2.6,Fortaleza
18,2023-04-23,Goiás,1.2,3–1,0.5,Corinthians
19,2023-04-22,Cruzeiro,1.5,1–0,0.8,Grêmio
20,2023-04-24,Bahia,0.9,1–2,0.2,Botafogo (RJ)
22,2023-04-29,Coritiba,1.8,1–1,1.1,São Paulo
23,2023-04-29,Fortaleza,5.3,4–2,1.5,Fluminense
24,2023-04-29,Bragantino,1.5,0–3,2.0,Cruzeiro
25,2023-04-29,Santos,1.8,3–2,1.8,América (MG)
26,2023-04-29,Palmeiras,1.4,2–1,0.5,Corinthians
27,2023-04-30,Flamengo,3.1,2–3,1.9,Botafogo (RJ)
28,2023-04-30,Cuiabá,1.2,1–2,1.7,Grêmio
29,2023-04-30,Internacional,0.9,1–0,0.8,Goiás
30,2023-04-29,Atlético Mineiro,2.0,2–1,0.6,Ath Paranaense
31,2023-05-01,Vasco da Gama,0.9,0–1,1.1,Bahia
33,2023-05-06,Cruzeiro,1.6,2–1,1.0,Santos
34,2023-05-07,América (MG),1.4,1–2,0.5,Cuiabá
35,2023-05-07,Ath Paranaense,1.0,2–1,1.5,Flamengo
36,2023-05-07,São Paulo,1.9,2–0,0.8,Internacional
37,2023-05-07,Bahia,1.5,3–1,0.4,Coritiba
38,2023-05-07,Botafogo (RJ),2.0,2–0,0.5,Atlético Mineiro
39,2023-05-07,Grêmio,1.7,3–3,1.8,Bragantino
40,2023-05-07,Goiás,0.7,0–5,2.0,Palmeiras
41,2023-05-06,Fluminense,1.8,1–1,0.7,Vasco da Gama
42,2023-05-08,Corinthians,1.5,1–1,0.8,Fortaleza
44,2023-05-10,Internacional,1.0,0–2,1.5,Ath Paranaense
45,2023-05-10,Bragantino,1.7,2–2,2.0,América (MG)
46,2023-05-10,Cuiabá,0.2,0–4,2.8,Atlético Mineiro
47,2023-05-10,Santos,2.0,3–0,1.3,Bahia
48,2023-05-10,Flamengo,2.6,2–0,0.7,Goiás
49,2023-05-11,Coritiba,1.0,1–1,0.8,Vasco da Gama
50,2023-05-11,Botafogo (RJ),2.6,3–0,0.6,Corinthians
51,2023-05-11,Fortaleza,0.8,0–0,0.8,São Paulo
52,2023-05-10,Palmeiras,3.8,4–1,0.1,Grêmio
53,2023-05-10,Cruzeiro,2.1,0–2,1.2,Fluminense
55,2023-05-13,Bahia,1.4,2–3,2.2,Flamengo
56,2023-05-13,Fluminense,0.9,2–0,0.9,Cuiabá
57,2023-05-13,Palmeiras,1.6,1–1,1.0,Bragantino
58,2023-05-14,Grêmio,0.8,0–0,0.6,Fortaleza
59,2023-05-14,Vasco da Gama,1.7,0–1,0.6,Santos
60,2023-05-14,Corinthians,0.9,1–1,0.9,São Paulo
