Rodada,Date,Home Team,Score,Away Team,Técnico,Pontuação Partida,xG_aFavor,xG_Contra
1,2023-04-15,Botafogo (RJ),2-1,São Paulo,Luis Castro,3,0.9,2.0
2,2023-04-24,Bahia,1-2,Botafogo (RJ),Luis Castro,3,0.2,0.9
3,2023-04-30,Flamengo,2-3,Botafogo (RJ),Luis Castro,3,1.9,3.1
4,2023-05-07,Botafogo (RJ),2-0,Atlético Mineiro,Luis Castro,3,2.0,0.5
5,2023-05-11,Botafogo (RJ),3-0,Corinthians,Luis Castro,3,2.6,0.6
6,2023-05-14,Goiás,2-1,Botafogo (RJ),Luis Castro,0,1.5,1.9
7,2023-05-20,Botafogo (RJ),1-0,Fluminense,Luis Castro,3,1.4,0.9
8,2023-05-28,Botafogo (RJ),2-0,América (MG),Luis Castro,3,2.1,0.4
9,2023-06-03,Ath Paranaense,1-0,Botafogo (RJ),Luis Castro,0,0.6,0.9
10,2023-06-10,Botafogo (RJ),2-0,Fortaleza,Luis Castro,3,3.7,0.4
11,2023-06-22,Cuiabá,0-1,Botafogo (RJ),Luis Castro,3,1.2,1.1
12,2023-06-25,Palmeiras,0-1,Botafogo (RJ),Luis Castro,3,0.8,2.6
13,2023-07-02,Botafogo (RJ),2-0,Vasco da Gama,Claudio Caçapa,3,1.7,0.9
14,2023-07-09,Grêmio,0-2,Botafogo (RJ),Claudio Caçapa,3,1.1,1.6
15,2023-07-15,Botafogo (RJ),2-0,Bragantino,Claudio Caçapa,3,1.0,1.4
16,2023-07-23,Santos,2-2,Botafogo (RJ),Bruno Lage,1,1.0,0.9
17,2023-07-30,Botafogo (RJ),4-1,Coritiba,Bruno Lage,3,0.9,1.2
18,2023-08-06,Cruzeiro,0-0,Botafogo (RJ),Bruno Lage,1,0.1,0.9
19,2023-08-12,Botafogo (RJ),3-1,Internacional,Bruno Lage,3,2.3,1.7
20,2023-08-19,São Paulo,0-0,Botafogo (RJ),Bruno Lage,1,0.9,0.7
21,2023-08-27,Botafogo (RJ),3-0,Bahia,Bruno Lage,3,2.3,1.2
22,2023-09-02,Botafogo (RJ),1-2,Flamengo,Bruno Lage,0,1.1,0.8
23,2023-09-16,Atlético Mineiro,1-0,Botafogo (RJ),Bruno Lage,0,0.1,1.3
24,2023-09-22,Corinthians,1-0,Botafogo (RJ),Bruno Lage,0,0.5,1.1
25,2023-10-02,Botafogo (RJ),1-1,Goiás,Bruno Lage,1,0.9,0.5
26,2023-10-08,Fluminense,0-2,Botafogo (RJ),Lucio Flávio,3,1.9,1.1
27,2023-10-18,América (MG),1-2,Botafogo (RJ),Lucio Flávio,3,0.5,2.9
28,2023-10-22,Botafogo (RJ),1-1,Ath Paranaense,Lucio Flávio,1,0.9,1.1
29,2023-10-29,Botafogo (RJ),0-1,Cuiabá,Lucio Flávio,0,2.0,1.1
30,2023-11-01,Botafogo (RJ),3-4,Palmeiras,Lucio Flávio,0,3.5,1.7
31,2023-11-06,Vasco da Gama,1-0,Botafogo (RJ),Lucio Flávio,0,0.5,0.5
32,2023-11-09,Botafogo (RJ),3-4,Grêmio,Lucio Flávio,0,1.4,2.0
33,2023-11-12,Bragantino,2-2,Botafogo (RJ),Lucio Flávio,1,0.8,2.9
34,2023-11-23,Fortaleza,2-2,Botafogo (RJ),Tiago Nunes,1,0.8,2.0
35,2023-11-26,Botafogo (RJ),1-1,Santos,Tiago Nunes,1,1.6,0.3
36,2023-11-29,Coritiba,1-1,Botafogo (RJ),Tiago Nunes,1,2.0,1.7
37,2023-12-03,Botafogo (RJ),0-0,Cruzeiro,Tiago Nunes,1,1.0,0.9
38,2023-12-06,Internacional,3-1,Botafogo (RJ),Tiago Nunes,0,0.4,1.2
